EVENT,Lat_EOP,Lng_EOP,h_EOP
141,14.518767559,101.019902792,204.607
142,14.518923617,101.019814389,204.674
143,14.519086897,101.019722107,204.659
144,14.519244319,101.019633489,204.615
145,14.519411055,101.019539258,204.643
146,14.519572121,101.019448571,204.662
147,14.519728562,101.019360665,204.694
148,14.519888352,101.019271126,204.726
149,14.520053910,101.019178004,204.739
150,14.520211260,101.019089486,204.760
151,14.520376799,101.018996455,204.759
152,14.520531352,101.018909534,204.750
153,14.520695248,101.018817010,204.792
154,14.520859550,101.018724439,204.804
155,14.521015326,101.018636235,204.821
156,14.521179450,101.018542991,204.824
157,14.521338728,101.018454051,204.861
158,14.521504733,101.018361988,204.873
159,14.521661848,101.018273865,204.904
160,14.521823419,101.018183065,204.862
161,14.521985410,101.018092041,204.882
162,14.522148260,101.018000377,204.946
163,14.522303395,101.017912713,204.923
164,14.522467242,101.017819113,204.941
165,14.522630069,101.017726513,204.966
166,14.522785963,101.017637729,205.054
167,14.522951487,101.017544923,205.182
168,14.523109730,101.017456624,205.204
169,14.523274048,101.017363250,205.133
170,14.523437945,101.017270701,205.178
171,14.523594252,101.017183157,205.196
172,14.523747546,101.017099607,205.408
173,14.523772026,101.017086252,205.345
174,14.523762056,101.017082077,205.221
175,14.523648128,101.016922404,204.698
176,14.523554581,101.016745367,204.293
177,14.523467029,101.016578130,204.009
178,14.523388286,101.016430213,203.719
179,14.523376652,101.016407338,203.742
180,14.523375461,101.016421416,203.715
181,14.523220787,101.016535204,203.508
182,14.523045883,101.016633260,203.552
183,14.522886764,101.016722348,203.610
184,14.522721692,101.016813127,203.516
185,14.522570385,101.016898863,203.480
186,14.522406244,101.016991602,203.493
187,14.522249602,101.017080319,203.426
188,14.522082396,101.017174770,203.366
189,14.521919836,101.017266527,203.379
190,14.521766785,101.017352209,203.339
191,14.521601115,101.017444396,203.316
192,14.521440665,101.017533627,203.266
193,14.521285770,101.017620716,203.249
194,14.521124017,101.017712008,203.258
195,14.520954735,101.017806794,203.186
196,14.520797655,101.017893193,203.083
197,14.520640514,101.017981303,203.063
198,14.520472121,101.018077861,203.040
199,14.520318666,101.018165210,203.002
200,14.520149997,101.018260602,202.984
201,14.519992757,101.018348561,202.958
202,14.519834553,101.018438137,202.927
203,14.519675930,101.018527665,202.935
204,14.519516168,101.018617510,202.928
205,14.519355360,101.018708401,202.939
206,14.519193669,101.018799010,202.901
207,14.519027307,101.018894261,202.861
208,14.518871918,101.018982936,202.850
209,14.518712909,101.019072492,202.797
210,14.518556234,101.019160613,202.779
211,14.518389877,101.019254921,202.738
212,14.518233493,101.019342079,202.725
213,14.518072976,101.019431876,202.651
214,14.517908385,101.019524493,202.612
215,14.517748051,101.019615154,202.561
216,14.517582125,101.019708462,202.545
217,14.517427896,101.019795064,202.565
218,14.517266042,101.019885230,202.450
219,14.517106861,101.019974981,202.441
220,14.516945840,101.020065048,202.426
221,14.516787425,101.020154848,202.380
222,14.516623295,101.020247608,202.367
223,14.516464929,101.020337705,202.368
224,14.516298359,101.020431865,202.364
225,14.516145043,101.020518051,202.340
226,14.515978905,101.020610825,202.272
227,14.515820231,101.020700601,202.237
228,14.515654537,101.020794470,202.242
229,14.515498652,101.020881711,202.187
230,14.515337439,101.020972217,202.141
231,14.515186934,101.021057574,202.227
232,14.515141260,101.021081238,202.230
233,14.515140759,101.021073489,202.251
234,14.515073897,101.020881087,201.966
235,14.514986869,101.020712371,201.773
236,14.514898288,101.020541811,201.682
237,14.514819444,101.020390647,201.543
238,14.514808079,101.020367352,201.590
239,14.514821316,101.020372495,201.606
240,14.515005888,101.020295051,201.453
241,14.515168191,101.020202859,201.460
242,14.515334075,101.020109689,201.525
243,14.515487123,101.020024159,201.527
244,14.515651220,101.019931410,201.486
245,14.515811156,101.019841332,201.499
246,14.515971925,101.019750050,201.459
247,14.516131978,101.019660027,201.413
248,14.516297247,101.019567592,201.415
249,14.516454322,101.019479245,201.484
250,14.516616154,101.019389732,201.482
251,14.516772019,101.019302187,201.458
252,14.516935985,101.019209517,201.378
253,14.517098189,101.019116580,201.395
254,14.517252730,101.019028506,201.408
255,14.517417529,101.018935891,201.439
256,14.517583809,101.018841991,201.445
257,14.517739283,101.018755392,201.465
258,14.517902739,101.018663301,201.395
259,14.518060251,101.018574095,201.383
260,14.518224034,101.018481872,201.407
261,14.518379060,101.018393669,201.440
262,14.518545800,101.018298994,201.397
263,14.518704860,101.018210466,201.443
264,14.518865042,101.018121421,201.379
265,14.519026800,101.018030931,201.382
266,14.519191978,101.017938739,201.362
267,14.519348246,101.017850721,201.359
268,14.519513093,101.017757312,201.359
269,14.519669375,101.017668472,201.381
270,14.519838184,101.017573482,201.349
271,14.519991096,101.017487416,201.336
272,14.520157665,101.017395234,201.364
273,14.520314887,101.017307802,201.356
274,14.520479794,101.017214956,201.363
275,14.520634655,101.017127202,201.423
276,14.520803269,101.017030988,201.378
277,14.520954497,101.016945113,201.364
278,14.521120288,101.016851360,201.371
279,14.521273645,101.016764028,201.334
280,14.521441440,101.016669807,201.297
281,14.521600943,101.016580551,201.197
282,14.521760327,101.016490811,201.234
283,14.521928498,101.016395803,201.280
284,14.522081081,101.016310740,201.310
285,14.522247891,101.016218418,201.364
286,14.522405115,101.016129519,201.372
287,14.522561785,101.016040997,201.388
288,14.522725944,101.015947929,201.338
289,14.522880241,101.015858941,201.268
290,14.523034632,101.015773865,201.389
291,14.523067826,101.015755309,201.325
292,14.523060266,101.015752268,201.230
293,14.522945286,101.015593097,201.136
294,14.522852600,101.015416314,201.098
295,14.522764587,101.015247320,201.136
296,14.522688570,101.015101663,201.247
297,14.522676241,101.015077359,201.294
298,14.522675699,101.015089365,201.291
299,14.522514018,101.015207678,201.303
300,14.522347978,101.015300120,201.364
301,14.522185610,101.015389689,201.479
302,14.522025019,101.015480014,201.484
303,14.521870445,101.015567986,201.520
304,14.521703294,101.015661919,201.501
305,14.521546628,101.015749549,201.573
306,14.521377927,101.015844019,201.592
307,14.521226778,101.015929132,201.667
308,14.521062392,101.016021840,201.700
309,14.520906359,101.016109704,201.723
310,14.520739676,101.016203390,201.737
311,14.520584744,101.016291116,201.766
312,14.520420313,101.016382661,201.837
313,14.520255830,101.016474342,201.837
314,14.520099542,101.016562868,201.890
315,14.519933279,101.016657172,201.964
316,14.519776339,101.016746048,201.977
317,14.519616889,101.016836477,201.992
318,14.519455869,101.016926635,201.915
319,14.519299941,101.017014371,202.009
320,14.519135236,101.017106920,202.046
321,14.518978710,101.017194864,202.078
322,14.518813842,101.017287577,202.154
323,14.518658682,101.017375482,202.240
324,14.518494301,101.017467698,202.261
325,14.518329780,101.017559829,202.268
326,14.518170780,101.017648586,202.315
327,14.518015505,101.017736555,202.372
328,14.517852119,101.017829003,202.425
329,14.517687299,101.017921793,202.460
330,14.517527415,101.018010904,202.446
331,14.517366582,101.018100456,202.463
332,14.517210712,101.018188292,202.519
333,14.517047361,101.018280850,202.574
334,14.516891676,101.018369383,202.638
335,14.516727908,101.018461885,202.681
336,14.516571973,101.018549777,202.731
337,14.516405604,101.018644906,202.759
338,14.516250765,101.018732670,202.747
339,14.516083708,101.018827113,202.765
340,14.515929446,101.018913269,202.849
341,14.515764545,101.019005431,202.874
342,14.515606782,101.019094593,202.919
343,14.515439833,101.019187081,202.946
344,14.515284892,101.019273447,202.932
345,14.515120574,101.019366733,202.982
346,14.514956701,101.019459773,203.016
347,14.514795836,101.019549907,203.061
348,14.514639667,101.019637581,203.115
349,14.514490565,101.019721761,203.299
350,14.514451812,101.019742589,203.266
351,14.514452923,101.019732455,203.261
352,14.514384548,101.019543511,203.466
353,14.514294500,101.019371035,203.734
354,14.514206823,101.019204041,204.038
355,14.514129591,101.019055070,204.369
356,14.514118282,101.019030681,204.497
357,14.514131976,101.019035927,204.467
358,14.514315799,101.018958467,204.197
359,14.514481319,101.018865659,204.142
360,14.514645095,101.018773593,204.121
361,14.514799092,101.018686782,204.117
362,14.514967254,101.018590643,204.005
363,14.515126600,101.018501445,203.919
364,14.515286348,101.018411739,203.875
365,14.515448152,101.018321215,203.823
366,14.515604546,101.018232815,203.763
367,14.515768005,101.018138870,203.617
368,14.515924998,101.018050227,203.565
369,14.516088097,101.017959312,203.494
370,14.516242994,101.017872412,203.390
371,14.516414005,101.017775677,203.339
372,14.516568644,101.017687683,203.242
373,14.516729184,101.017598267,203.181
374,14.516894600,101.017505130,203.105
375,14.517050285,101.017416928,203.020
376,14.517220430,101.017321286,202.985
377,14.517373387,101.017236385,202.963
378,14.517538769,101.017143749,202.922
379,14.517700511,101.017052166,202.881
380,14.517854437,101.016964787,202.813
381,14.518023053,101.016870258,202.719
382,14.518179684,101.016782267,202.690
383,14.518345187,101.016690086,202.684
384,14.518502156,101.016602289,202.588
385,14.518666529,101.016508744,202.511
386,14.518825709,101.016418316,202.379
387,14.518988775,101.016325567,202.281
388,14.519141672,101.016240892,202.273
389,14.519307334,101.016148230,202.195
390,14.519471386,101.016056135,202.152
391,14.519634145,101.015964414,202.078
392,14.519790998,101.015875789,201.984
393,14.519956428,101.015782311,201.857
394,14.520107154,101.015696713,201.808
395,14.520271821,101.015603736,201.715
396,14.520441328,101.015509295,201.641
397,14.520592309,101.015424527,201.629
398,14.520756937,101.015330853,201.594
399,14.520922006,101.015237907,201.541
400,14.521077632,101.015148208,201.372
401,14.521241462,101.015055772,201.326
402,14.521404079,101.014965396,201.308
403,14.521555616,101.014880451,201.277
404,14.521722232,101.014788143,201.246
405,14.521884717,101.014697673,201.124
406,14.522047567,101.014606315,201.099
407,14.522204158,101.014518317,201.062
408,14.522352528,101.014434859,200.997
409,14.522373798,101.014423180,200.828
410,14.522362939,101.014419132,200.816
411,14.522245891,101.014259466,200.493
412,14.522151350,101.014078435,200.031
413,14.522065161,101.013915651,199.727
414,14.521986029,101.013766590,199.614
415,14.521975618,101.013745492,199.674
416,14.521974745,101.013757155,199.686
417,14.521814924,101.013877219,199.598
418,14.521647332,101.013970007,199.665
419,14.521482744,101.014060570,199.791
420,14.521320489,101.014151770,199.846
421,14.521169252,101.014237256,199.949
422,14.521003931,101.014329890,199.995
423,14.520846948,101.014417464,200.041
424,14.520681010,101.014510321,200.050
425,14.520528253,101.014596839,200.135
426,14.520358761,101.014692231,200.227
427,14.520203611,101.014779614,200.330
428,14.520040729,101.014870821,200.426
429,14.519885101,101.014958879,200.526
430,14.519718622,101.015053452,200.658
431,14.519560938,101.015141775,200.836
432,14.519397084,101.015233929,200.907
433,14.519240640,101.015322254,201.003
434,14.519076201,101.015415092,201.047
435,14.518907881,101.015509975,201.147
436,14.518754193,101.015596167,201.191
437,14.518586878,101.015690607,201.261
438,14.518435365,101.015775951,201.318
439,14.518271020,101.015868392,201.417
440,14.518109460,101.015959261,201.425
441,14.517950253,101.016048881,201.463
442,14.517787199,101.016141133,201.571
443,14.517623626,101.016233360,201.642
444,14.517464078,101.016322606,201.690
445,14.517300585,101.016413649,201.763
446,14.517144218,101.016500290,201.796
447,14.516978210,101.016594006,201.862
448,14.516821534,101.016682395,201.948
449,14.516656203,101.016775795,202.044
450,14.516499808,101.016863916,202.133
451,14.516341584,101.016952860,202.222
452,14.516177278,101.017044906,202.292
453,14.516012616,101.017138614,202.355
454,14.515858020,101.017226303,202.443
455,14.515697622,101.017316441,202.571
456,14.515534604,101.017407203,202.599
457,14.515377802,101.017496755,202.632
458,14.515213822,101.017588713,202.656
459,14.515057744,101.017675971,202.702
460,14.514889355,101.017771212,202.828
461,14.514737163,101.017857394,202.914
462,14.514570720,101.017951594,202.984
463,14.514413399,101.018040556,203.037
464,14.514250252,101.018133136,203.113
465,14.514091790,101.018222200,203.126
466,14.513925719,101.018314384,203.183
467,14.513780904,101.018395035,203.343
468,14.513758957,101.018405792,203.331
469,14.513759539,101.018397556,203.366
470,14.513692880,101.018205234,202.986
471,14.513605071,101.018035993,202.641
472,14.513516991,101.017868098,202.414
473,14.513436956,101.017715710,202.176
474,14.513425480,101.017691940,202.228
475,14.513446795,101.017697215,202.250
476,14.513621497,101.017622102,202.053
477,14.513782455,101.017531064,201.992
478,14.513945651,101.017438908,202.018
479,14.514105107,101.017348784,202.020
480,14.514268985,101.017255705,201.939
481,14.514427855,101.017166151,201.820
482,14.514592740,101.017074454,201.810
483,14.514744624,101.016989198,201.764
484,14.514910882,101.016895766,201.729
485,14.515067934,101.016807854,201.731
486,14.515232292,101.016715122,201.582
487,14.515396275,101.016622021,201.509
488,14.515552460,101.016534079,201.413
489,14.515717248,101.016441637,201.371
490,14.515874092,101.016354174,201.350
491,14.516034455,101.016264148,201.302
492,14.516201944,101.016170296,201.189
493,14.516355914,101.016083085,201.210
494,14.516523223,101.015989213,201.184
495,14.516679608,101.015900693,201.057
496,14.516836696,101.015811861,201.002
497,14.517002920,101.015716048,200.880
498,14.517161376,101.015626997,200.875
499,14.517321353,101.015538166,200.843
500,14.517484752,101.015446299,200.806
501,14.517639725,101.015358714,200.715
502,14.517804031,101.015264822,200.638
503,14.517970727,101.015171252,200.612
504,14.518128024,101.015083832,200.655
505,14.518286195,101.014996170,200.634
506,14.518448592,101.014904601,200.548
507,14.518615662,101.014809529,200.462
508,14.518771795,101.014720687,200.369
509,14.518934236,101.014629115,200.314
510,14.519094036,101.014539444,200.237
511,14.519255770,101.014449099,200.241
512,14.519412603,101.014360372,200.231
513,14.519580326,101.014266097,200.181
514,14.519738521,101.014177654,200.113
515,14.519893386,101.014090577,200.064
516,14.520057910,101.013997595,200.003
517,14.520224336,101.013903390,199.948
518,14.520378643,101.013816194,199.908
519,14.520543547,101.013723477,199.842
520,14.520700067,101.013636365,199.731
521,14.520862752,101.013543573,199.623
522,14.521027406,101.013451731,199.576
523,14.521182370,101.013363813,199.499
524,14.521346337,101.013271290,199.500
525,14.521503417,101.013182866,199.458
526,14.521653830,101.013100386,199.682
527,14.521668862,101.013090585,199.477
528,14.521658128,101.013085501,199.453
529,14.521547317,101.012926970,199.145
530,14.521455696,101.012753999,198.947
531,14.521368607,101.012587944,198.791
532,14.521288138,101.012434086,198.711
533,14.521277251,101.012412691,198.769
534,14.521270281,101.012434346,198.766
535,14.521114121,101.012543960,198.643
536,14.520952328,101.012633759,198.747
537,14.520787168,101.012725325,198.823
538,14.520629010,101.012813195,198.883
539,14.520464191,101.012906732,198.915
540,14.520307993,101.012995018,198.974
541,14.520146123,101.013086119,199.017
542,14.519980159,101.013179016,199.042
543,14.519825491,101.013266139,199.123
544,14.519653978,101.013362499,199.216
545,14.519502250,101.013447948,199.289
546,14.519346195,101.013535694,199.342
547,14.519181915,101.013628537,199.384
548,14.519018123,101.013721488,199.437
549,14.518858304,101.013811344,199.482
550,14.518696612,101.013902345,199.552
551,14.518536967,101.013991237,199.579
552,14.518373560,101.014082065,199.661
553,14.518215751,101.014170894,199.718
554,14.518054336,101.014262075,199.743
555,14.517887631,101.014356408,199.803
556,14.517728803,101.014446773,199.854
557,14.517565364,101.014538462,199.921
558,14.517407759,101.014626959,199.991
559,14.517249837,101.014714968,200.038
560,14.517085076,101.014807626,200.087
561,14.516927913,101.014896784,200.143
562,14.516772116,101.014985642,200.218
563,14.516606907,101.015078269,200.386
564,14.516446185,101.015168048,200.504
565,14.516288140,101.015257487,200.555
566,14.516123711,101.015350432,200.620
567,14.515966347,101.015439088,200.658
568,14.515801672,101.015531670,200.744
569,14.515645716,101.015619933,200.811
570,14.515488756,101.015708936,200.895
571,14.515329309,101.015798284,200.889
572,14.515164049,101.015891045,200.985
573,14.514995059,101.015984863,200.970
574,14.514840291,101.016072602,201.061
575,14.514683562,101.016160000,201.109
576,14.514518964,101.016252278,201.183
577,14.514363404,101.016340800,201.261
578,14.514193022,101.016437073,201.326
579,14.514035695,101.016525240,201.392
580,14.513879638,101.016612573,201.424
581,14.513713925,101.016705496,201.470
582,14.513553810,101.016795286,201.463
583,14.513398444,101.016883545,201.544
584,14.513235228,101.016976113,201.616
585,14.513085648,101.017059741,201.732
586,14.513068430,101.017068314,201.737
